Issue Type;Issue key;Issue id;Parent id;Summary;Assignee;Reporter;Priority;Status;Resolution;Created;Updated;Original Estimate;Remaining Estimate;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint
Sub-task;EMAP-485;142965;137496;Modify accesslinkEditionWindow as a generic report modal supporting all areas  ;pastorim;mazzola;Minor;Closed;Fixed;19/06/2017 18:56;24/07/2017 11:12;21600;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Sub-task;EMAP-484;142964;137496;Add upload button to new report modal ;pastorim;mazzola;Minor;Closed;Fixed;19/06/2017 18:56;24/07/2017 11:12;21600;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Sub-task;EMAP-483;142963;137496;Create migration script for executive reports integration to access link tables ;pastorim;mazzola;Minor;Closed;Fixed;19/06/2017 18:56;24/07/2017 11:12;14400;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Sub-task;EMAP-482;142962;137496;Create database script for storing report files ;pastorim;mazzola;Minor;Closed;Fixed;19/06/2017 18:55;24/07/2017 11:11;7200;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Sub-task;EMAP-481;142961;137496;Implement uploader and upload dialog box ;pastorim;mazzola;Minor;Closed;Done;19/06/2017 18:55;24/07/2017 11:11;36000;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Sub-task;EMAP-480;142960;137496;Analysis of reports upload feature ;mazzola;mazzola;Minor;Closed;Done;19/06/2017 18:54;24/07/2017 11:10;10800;0;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Task;EMAP-506;146803;;Validate if dev branch is working after merge with production branch;mazzola;olivada;Minor;Closed;Fixed;17/07/2017 10:49;24/07/2017 11:06;14400;0;EMAP Sprint 33;EMAP Sprint 34;;;;;;;
Task;EMAP-509;147101;;Estimate stories;;olivada;Minor;Closed;Fixed;18/07/2017 11:14;24/07/2017 11:02;10800;0;EMAP Sprint 34;;;;;;;;
Story;EMAP-521;147575;;As user I want to be notified when some report is not available due a attack issue;olivada;olivada;Minor;Closed;Done;20/07/2017 12:46;24/07/2017 11:02;7200;0;EMAP Sprint 34;;;;;;;;
Task;EMAP-508;147076;;Configure MyReports enviroment,;;olivada;Minor;Closed;Done;18/07/2017 10:44;24/07/2017 11:00;14400;0;EMAP Sprint 34;;;;;;;;
Task;EMAP-507;147046;;Verify is working test branch after merge;;olivada;Minor;To Do;;18/07/2017 10:36;20/07/2017 16:11;21600;21600;EMAP Sprint 35;;;;;;;;
Sub-task;EMAP-516;147185;134485;Add Quartz job for notification of permission delegation end;;mazzola;Minor;To Do;;18/07/2017 17:08;19/07/2017 11:37;18000;18000;EMAP Sprint 37;;;;;;;;
Sub-task;EMAP-520;147189;134485;Test and fixing od new permission delegation feature;;mazzola;Minor;To Do;;18/07/2017 17:11;18/07/2017 17:11;7200;7200;EMAP Sprint 37;;;;;;;;
Sub-task;EMAP-519;147188;134485;Track delegations into log monitoring  ;;mazzola;Minor;To Do;;18/07/2017 17:10;18/07/2017 17:10;3600;3600;EMAP Sprint 37;;;;;;;;
Sub-task;EMAP-518;147187;134485;Add validation for permission delegations  in all interfaces ;;mazzola;Minor;To Do;;18/07/2017 17:09;18/07/2017 17:09;14400;14400;EMAP Sprint 37;;;;;;;;
Sub-task;EMAP-517;147186;134485;Add delegator’s options into Personal Info combobox ;;mazzola;Minor;To Do;;18/07/2017 17:09;18/07/2017 17:09;7200;7200;EMAP Sprint 37;;;;;;;;
Sub-task;EMAP-515;147184;134485;Add email notification after delegation of permissions ;;mazzola;Minor;To Do;;18/07/2017 17:07;18/07/2017 17:07;7200;7200;EMAP Sprint 37;;;;;;;;
Sub-task;EMAP-514;147183;134485;Create JUnit for permission delegation ;;mazzola;Minor;To Do;;18/07/2017 17:04;18/07/2017 17:07;10800;10800;EMAP Sprint 37;;;;;;;;
Sub-task;EMAP-513;147182;134485;Implement backend logic for permission  delegation ;;mazzola;Minor;To Do;;18/07/2017 17:04;18/07/2017 17:07;28800;28800;EMAP Sprint 37;;;;;;;;
Sub-task;EMAP-512;147181;134485;Create database script ;;mazzola;Minor;To Do;;18/07/2017 17:03;18/07/2017 17:06;3600;3600;EMAP Sprint 37;;;;;;;;
Sub-task;EMAP-511;147180;134485;Create Delegate Permissions view ;;mazzola;Minor;To Do;;18/07/2017 17:03;18/07/2017 17:06;10800;10800;EMAP Sprint 37;;;;;;;;
Story;EMAP-510;147160;;As element owner/grant permission I would like have the historical information about request approval/reject;;olivada;Minor;To Do;;18/07/2017 14:13;18/07/2017 14:14;;;;;;;;;;;
Task;EMAP-455;140239;;As a Gkam user I would like to see the image;olivada;battacar;Minor;Closed;Fixed;09/06/2017 11:53;17/07/2017 18:08;3600;0;EMAP Sprint 34;;;;;;;;
Story;EMAP-434;138466;;Upload Gkam Image into Gkam Reports;olivada;battacar;Minor;Closed;Fixed;02/06/2017 17:27;17/07/2017 18:08;3600;0;EMAP Sprint 34;;;;;;;;
Task;EMAP-503;145923;;Remove from DATABASE_REPORT_INFO_FILE report_info references;;olivada;Minor;To Do;;12/07/2017 13:14;12/07/2017 13:14;;;;;;;;;;;
Story;EMAP-212;68411;;As a application admin I would like to know then MyReports is not available;battacar;olivada;Minor;Closed;Duplicate;10/06/2016 18:33;10/07/2017 16:57;;;EMAP Sprint 33;;;;;;;;
Story;EMAP-218;93182;;As a operation user I would like to have access to a oracle view where find the relation between accessLinkId and the real URL;olivada;olivada;Minor;Closed;Won't Fix;17/11/2016 17:41;10/07/2017 16:32;;;EMAP Sprint 33;;;;;;;;
Story;EMAP-499;145248;;As user I would like assign permissions from different sources like GKAM;;olivada;Minor;To Do;;06/07/2017 11:46;06/07/2017 11:46;;;;;;;;;;;
Story;EMAP-474;141685;;As a user Admin I do not want to see more Regions/countries than SFA Area should have.;;battacar;Minor;Closed;Duplicate;15/06/2017 15:27;05/07/2017 16:50;;;EMAP Sprint 30;EMAP Sprint 33;;;;;;;
Bug;EMAP-419;137910;;As a User with permission to some information area, the info Combo box is displaying Sales Force Effectiveness when I do not have access to it.;;pastorim;Minor;Closed;Fixed;31/05/2017 19:15;22/06/2017 15:21;0;0;EMAP Sprint 28;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;;;;;
Story;EMAP-297;130300;;As a user I would like to see a message in the front end that letting me know that the portal will control my use.;mazzola;battacar;Minor;Closed;Fixed;28/Apr/17 3:47 PM;22/06/2017 11:56;3600;0;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;;;;;;
Bug;EMAP-463;140826;;As a Operational Role I am not able to open the reports (not letting make click on the card);olivada;battacar;Minor;Closed;Fixed;12/06/2017 16:56;16/06/2017 14:44;3600;0;EMAP Sprint 30;;;;;;;;
Story;EMAP-473;141676;;As QV operation user I would like to have access;olivada;olivada;Minor;Closed;Fixed;15/06/2017 14:41;15/06/2017 15:52;1800;0;EMAP Sprint 30;;;;;;;;
Story;EMAP-274;129629;;As a user I would like to see into in the carousel card wich one is available in Ipad an which one no.;;battacar;Minor;Closed;Fixed;26/Apr/17 4:12 PM;12/06/2017 15:47;;;;;;;;;;;
Story;EMAP-289;129946;;Agregar la visión Antes/Depues de empowered vs myreports;battacar;Casullop;Minor;Closed;Fixed;27/Apr/17 12:26 PM;12/06/2017 15:42;;;;;;;;;;;
Story;EMAP-244;129575;;As a user he would like to have the opportunity to ask again for access to a report that have been rejected.;;battacar;Minor;Closed;Won't Fix;26/Apr/17 1:31 PM;12/06/2017 15:36;;;;;;;;;;;
Story;EMAP-266;129615;;As a user I would like to see the correct Icon for the scroll into each carousel;;battacar;Minor;To Do;;26/Apr/17 3:40 PM;12/06/2017 15:23;3600;3600;EMAP Sprint 23;EMAP Sprint 24;;;;;;;
Story;EMAP-339;134512;;As a user I would like to see the self service option under the user dropbox;;battacar;Minor;To Do;;17/05/2017 11:07;12/06/2017 14:53;;;;;;;;;;;
Story;EMAP-433;138451;;As a user I would like to see the Information Report card with a different format;;battacar;Minor;Closed;Duplicate;02/06/2017 15:19;08/06/2017 16:44;;;EMAP Sprint 29;;;;;;;;
Story;EMAP-448;139604;;Include downloads and mobila data into MYRPTS_DASHBOARD_ADOPTION_VW;;galliani;Minor;To Do;;07/06/2017 17:50;07/06/2017 17:50;;;;;;;;;;;
Task;EMAP-366;135646;;Create migration validate scripts;mazzola;olivada;Minor;Closed;Fixed;22/05/2017 16:29;05/06/2017 18:10;14400;0;EMAP Sprint 27;EMAP Sprint 28;EMAP Sprint 29;;;;;;
Task;EMAP-345;134906;;As a developer I would like to have the list of all sales forces for all afiliates. ;;battacar;Minor;Closed;Duplicate;18/05/2017 13:42;05/06/2017 17:09;;;EMAP Sprint 29;;;;;;;;
Task;EMAP-346;134907;;I need to migrate the information (files) into the BILA path to MYReports new path;;battacar;Minor;Closed;Fixed;18/05/2017 13:46;05/06/2017 17:03;;;EMAP Sprint 29;;;;;;;;
Story;EMAP-290;129952;;hacer el switch de vista vieja de ESA usuarios a vista nueva.;battacar;Casullop;Minor;Closed;Fixed;27/Apr/17 12:34 PM;05/06/2017 15:50;;;EMAP Sprint 29;;;;;;;;
Task;EMAP-347;134908;;BILA vs Myreports links;battacar;battacar;Minor;Closed;Fixed;18/05/2017 13:48;05/06/2017 15:49;;;EMAP Sprint 29;;;;;;;;
Story;EMAP-295;130226;;Pre-Production;;battacar;Minor;Closed;Fixed;28/Apr/17 10:48 AM;05/06/2017 15:27;28800;28800;EMAP Sprint 27;EMAP Sprint 28;EMAP Sprint 29;;;;;;
Bug;EMAP-420;137911;;index.jsp has redirection issue in myreports site;olivada;olivada;Minor;Closed;Fixed;31/05/2017 19:21;05/06/2017 15:11;3600;1800;EMAP Sprint 28;;;;;;;;
Story;EMAP-430;138380;;When the title of an access link is too long, the delete confirmation window has an horizontal scroll bar;pastorim;mazzola;Minor;Closed;Fixed;02/06/2017 10:18;05/06/2017 10:49;1800;0;EMAP Sprint 28;;;;;;;;
Bug;EMAP-389;136266;;The reject reason is not included in reject emails;pastorim;olivada;Minor;Closed;Fixed;24/05/2017 17:16;05/06/2017 10:46;1800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-410;137580;;When new GKAM element is created in a migrated information area, the selected region is not saved properly;mazzola;mazzola;Minor;Closed;Fixed;30/05/2017 18:08;05/06/2017 10:46;14400;0;EMAP Sprint 28;;;;;;;;
Bug;EMAP-414;137905;;When clicking carousel cards, the url should redirect to myreports.merck.com instead of bila.merck.com;mazzola;mazzola;Minor;Closed;Fixed;31/05/2017 18:57;05/06/2017 10:45;3600;0;EMAP Sprint 28;;;;;;;;
Story;EMAP-428;138232;;Add tooltiptext to card buttons and comboboxes to provide details to user;pastorim;mazzola;Minor;Closed;Fixed;01/06/2017 19:38;05/06/2017 10:45;3600;0;EMAP Sprint 28;;;;;;;;
Bug;EMAP-416;137907;;The email to approval access has the bila url;pastorim;olivada;Minor;Closed;Fixed;31/05/2017 19:11;05/06/2017 10:43;1800;1800;EMAP Sprint 28;;;;;;;;
Story;EMAP-422;138207;;As Operation Role user I would like to have defined my access;olivada;olivada;Minor;Closed;Fixed;01/06/2017 15:31;05/06/2017 10:22;3600;0;EMAP Sprint 28;;;;;;;;
Story;EMAP-382;136160;;As user I would like that the request access windows close when I confirm the request;pastorim;olivada;Minor;Closed;Fixed;24/05/2017 11:41;05/06/2017 10:21;1800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-343;134604;;If the User does not have access to any area, the information area combobox should be empty. It shows SFA description.;;pastorim;Minor;Closed;Fixed;17/05/2017 16:09;05/06/2017 10:19;10800;10800;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-375;135959;;"As a tester I selected ""request access"" and the region went back to the first option of the list";pastorim;galliani;Minor;Closed;Fixed;23/05/2017 16:39;05/06/2017 10:19;1800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-372;135944;;As tester I found traslation issues on my report;pastorim;galliani;Minor;Closed;Fixed;23/05/2017 15:35;05/06/2017 10:15;1800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-371;135939;;As tester I found a traslation issue on the warning mssg when changing lenguage in profile;pastorim;galliani;Minor;Closed;Fixed;23/05/2017 15:30;05/06/2017 10:15;1800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-421;138201;;As a User that has access to Executive Reports, when I go to the request access section, the checkbox for Executive Reports in LA is not checked.;pastorim;pastorim;Minor;Closed;Fixed;01/06/2017 14:33;05/06/2017 10:15;1800;0;EMAP Sprint 28;;;;;;;;
Bug;EMAP-413;137853;;As an Admin User, I am not receiving the email when approving an access request.;pastorim;pastorim;Minor;Closed;Fixed;31/05/2017 13:24;05/06/2017 10:14;3600;0;EMAP Sprint 28;;;;;;;;
Story;EMAP-407;137535;;As a User Rep when I do not have access I want to see a message;pastorim;battacar;Minor;Closed;Fixed;30/05/2017 15:53;05/06/2017 10:13;3600;0;EMAP Sprint 28;;;;;;;;
Story;EMAP-403;137449;;As a user I am not able to put a link with more than 500 character.;olivada;battacar;Minor;Closed;Fixed;30/05/2017 11:24;05/06/2017 10:11;1800;0;EMAP Sprint 28;;;;;;;;
Bug;EMAP-400;137210;;As a User, I am not able to create a new group with the same description for different regions.;pastorim;pastorim;Minor;Closed;Fixed;29/05/2017 18:04;05/06/2017 10:11;600;0;EMAP Sprint 28;;;;;;;;
Bug;EMAP-393;136881;;The GKAM area is not working.;mazzola;olivada;Minor;Closed;Fixed;26/05/2017 16:45;05/06/2017 10:11;;;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-367;135650;;The search in textfield is not working by time;pastorim;olivada;Minor;Closed;Fixed;22/05/2017 16:44;05/06/2017 10:11;3600;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-397;137206;;The windows are not be showed in IPad;olivada;olivada;Minor;Closed;Fixed;29/05/2017 16:12;05/06/2017 10:10;3600;1800;EMAP Sprint 28;;;;;;;;
Bug;EMAP-394;137163;;The reports are showed as IPAD only in Chrome when should be able to use in that browser;;olivada;Minor;Closed;Fixed;29/05/2017 11:21;05/06/2017 10:10;10800;0;EMAP Sprint 28;;;;;;;;
Bug;EMAP-365;135627;;Issues with special characters in emails;pastorim;olivada;Minor;Closed;Fixed;22/05/2017 14:33;05/06/2017 10:10;10800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Story;EMAP-294;130033;;As a user I would like to see the Reports card 'In process' with the 'in process' icon in the request access view into the Reports that I have requested access. ;mazzola;battacar;Minor;Closed;Done;27/Apr/17 3:47 PM;05/06/2017 10:09;21600;21600;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Story;EMAP-363;135625;;As user I would like to see the email portal link  as myreports.merck.com/myreports/;pastorim;olivada;Minor;Closed;Fixed;22/05/2017 14:27;05/06/2017 10:09;3600;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-361;135623;;In the user admin search, the sfa roles should be displayed as read only;olivada;olivada;Minor;Closed;Fixed;22/05/2017 14:24;05/06/2017 10:08;10800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-355;135251;;As a User, if I request access and I have permission on a group, I'm not seeing the checkbox for information areas (in the carousel header) as selected.;pastorim;pastorim;Minor;Closed;Fixed;19/05/2017 16:48;05/06/2017 10:08;7200;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-362;135624;;When assigning adminRole to a user, the old subject attributes should be deleted;pastorim;mazzola;Minor;Closed;Fixed;22/05/2017 14:26;05/06/2017 09:32;7200;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-364;135626;;Region combobox is not filling with the correct regions when user has no access;mazzola;olivada;Minor;Closed;Fixed;22/05/2017 14:30;05/06/2017 09:31;10800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Story;EMAP-426;138225;;As user that can create dashboards, I would like to be able to create groups of links as MyReports 2.0;;olivada;Minor;To Do;;01/06/2017 18:36;01/06/2017 18:36;;;;;;;;;;;
Story;EMAP-282;129647;;As developer I need to integrate MyReport with Sportfire security;;battacar;Minor;To Do;;26/Apr/17 4:56 PM;01/06/2017 15:36;;;;;;;;;;;
Story;EMAP-408;137546;;As a sales force user i would like to see the correct name and description;olivada;battacar;Minor;Closed;Fixed;30/05/2017 16:13;31/05/2017 13:08;3600;0;EMAP Sprint 28;;;;;;;;
Story;EMAP-409;137548;;As a User when I create a Card the name of the card is been added into the description and it should be added.;olivada;battacar;Minor;Closed;Fixed;30/05/2017 16:15;31/05/2017 13:07;1800;0;EMAP Sprint 28;;;;;;;;
Task;EMAP-405;137505;;Bila Portal Traffic Light - Semáforo de instancias;;sebastle;Minor;To Do;;30/05/2017 14:48;30/05/2017 14:48;;;;;;;;;;;
Bug;EMAP-401;137384;;As a tester when I receive the email to approve or reject a request, the link to the approval window is not working.;;battacar;Minor;Closed;Fixed;30/05/2017 09:40;30/05/2017 13:40;;;EMAP Sprint 28;;;;;;;;
Bug;EMAP-402;137423;;As tester when I log in with tahirme user I am not able to see Personal options.;olivada;battacar;Minor;Closed;Fixed;30/05/2017 10:38;30/05/2017 13:29;;;EMAP Sprint 28;;;;;;;;
Bug;EMAP-395;137190;;The executive reports are not sorted.;pastorim;olivada;Minor;Closed;Fixed;29/05/2017 14:15;30/05/2017 12:12;1800;0;EMAP Sprint 28;;;;;;;;
Bug;EMAP-388;136264;;Missing translations on in request access approval;pastorim;olivada;Minor;Closed;Fixed;24/05/2017 17:15;30/05/2017 10:03;600;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-387;136263;;"Is possible click in ""Reject All"" and ""Approve All"" even when there is nothing to approve/reject";pastorim;olivada;Minor;Closed;Fixed;24/05/2017 17:14;30/05/2017 09:51;1800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-392;136833;;As a logged User, when requesting access, after closing My Profile option from Personal Info combobox the pending approvals windows is displayed. It should not.    ;pastorim;pastorim;Minor;Closed;Fixed;26/05/2017 12:27;30/05/2017 09:51;1800;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-379;135968;;As a tester, when i log as a new user i cant log out;;galliani;Minor;Closed;Duplicate;23/05/2017 17:07;26/05/2017 17:59;;;EMAP Sprint 28;;;;;;;;
Story;EMAP-214;64542;;As a User, I want to be able to have the Look and feel specific for my Division (Animal Health/Human Health);olivada;Casullop;Minor;Closed;Fixed;18/05/2016 18:04;23/05/2017 12:32;;;;;;;;;;;
Story;EMAP-263;129612;;As a user I would like to see the Reports card 'In process' with the 'in process' icon in the common life into the Reports that I have requested access. ;;battacar;Minor;Closed;Duplicate;26/Apr/17 3:25 PM;23/05/2017 12:32;;;EMAP Sprint 27;;;;;;;;
Bug;EMAP-360;135622;;When the user is assigned to adminRole, the old permission are not deleted;;olivada;Minor;Closed;Duplicate;22/05/2017 14:20;22/05/2017 16:34;7200;7200;EMAP Sprint 27;;;;;;;;
Task;EMAP-154;122820;;Integration testing of request access ;;olivada;Minor;Closed;Won't Fix;31/03/2017 16:41;22/05/2017 13:51;43200;18000;EMAP Sprint 21;EMAP Sprint 22;EMAP Sprint 23;EMAP Sprint 26;EMAP Sprint 27;;;;
Bug;EMAP-327;133462;;The window user creation is not creating  subject attribute;mazzola;olivada;Minor;Closed;Fixed;12/05/2017 16:44;22/05/2017 13:50;18000;18000;EMAP Sprint 26;;;;;;;;
Sub-task;EMAP-329;133471;129593;Add download event to card;mazzola;olivada;Minor;Closed;Done;12/05/2017 17:35;22/05/2017 13:44;;;EMAP Sprint 24;EMAP Sprint 25;EMAP Sprint 26;;;;;;
Story;EMAP-242;129560;;Include the link to MyReports portal into the Request email to the owner and into the Approval email to the Requester.;pastorim;battacar;Minor;Closed;Fixed;26/Apr/17 12:05 PM;22/05/2017 13:38;3600;0;EMAP Sprint 25;EMAP Sprint 26;;;;;;;
Story;EMAP-349;134974;;As user I would like see a message telling that the portal language change will have effect next time the user entre;olivada;olivada;Minor;Closed;Fixed;19/05/2017 01:47;22/05/2017 13:36;3600;0;EMAP Sprint 26;;;;;;;;
Bug;EMAP-352;135182;;When creating new element for Animal Health the item is not being displayed in carousel (Nullpointer Exception);mazzola;mazzola;Minor;Closed;Fixed;19/05/2017 12:07;22/05/2017 13:34;10800;10800;EMAP Sprint 26;;;;;;;;
Story;EMAP-350;134977;;As developer I would like to use images instead buttons in carousel card;olivada;olivada;Minor;Closed;Fixed;19/05/2017 03:04;22/05/2017 13:28;3600;0;EMAP Sprint 26;;;;;;;;
Bug;EMAP-337;134294;;The footer area is cutting confidential logo in request access view;olivada;olivada;Minor;Closed;Fixed;17/05/2017 03:58;22/05/2017 13:12;1800;0;EMAP Sprint 26;;;;;;;;
Task;EMAP-336;134290;;Ignore all junit executed with physical database;olivada;olivada;Minor;Closed;Fixed;17/05/2017 03:55;22/05/2017 13:12;1800;0;EMAP Sprint 26;;;;;;;;
Task;EMAP-331;133757;;The edit and delete card button should not be visible when the user is requesting access;pastorim;olivada;Minor;Closed;Fixed;15/05/2017 11:44;22/05/2017 13:08;1800;0;EMAP Sprint 26;;;;;;;;
Story;EMAP-258;129603;;As a User I would like to see the correct look and feel for the Permission Management;pastorim;battacar;Minor;Closed;Fixed;26/Apr/17 3:03 PM;22/05/2017 13:08;21600;0;EMAP Sprint 26;;;;;;;;
Story;EMAP-257;129600;;As a User I would like to see the same Look and Feel when I search a User;olivada;battacar;Minor;Closed;Fixed;26/Apr/17 2:59 PM;22/05/2017 13:07;14400;0;EMAP Sprint 26;;;;;;;;
Task;EMAP-332;133776;;Create a common queries in confluence;olivada;olivada;Minor;Closed;Fixed;15/05/2017 12:09;22/05/2017 13:07;3600;0;EMAP Sprint 26;;;;;;;;
Story;EMAP-271;129624;;As a developer i need to add the junits Request for data;olivada;battacar;Minor;Closed;Fixed;26/Apr/17 3:57 PM;22/05/2017 13:06;28800;0;EMAP Sprint 25;EMAP Sprint 26;;;;;;;
Story;EMAP-250;129588;;As a user i would like to have the same look and feel as all the portal for the confirmation window when I erase a report;pastorim;battacar;Minor;Closed;Fixed;26/Apr/17 2:10 PM;22/05/2017 13:06;3600;0;EMAP Sprint 26;;;;;;;;
Story;EMAP-260;129608;;As a user I would like to see the correct look and feel on the confirmation windows on my actions on the Permission Management option;pastorim;battacar;Minor;Closed;Fixed;26/Apr/17 3:13 PM;22/05/2017 13:05;7200;0;EMAP Sprint 26;;;;;;;;
Story;EMAP-261;129609;;As a user I would like to see the correct Look and Feel into the 'New Group' option;pastorim;battacar;Minor;Closed;Fixed;26/Apr/17 3:15 PM;22/05/2017 13:04;10800;0;EMAP Sprint 26;;;;;;;;
Bug;EMAP-147;122109;;TAB Admin. User with  Rol Grant Permissions or Owner to Executive Report and lower levels with Minor Permissions. The user is be able to give permissions to the tab and the user can see the lower levels and reports where have specific minor permission.;pastorim;alfonsma;Minor;Closed;Fixed;29/03/2017 12:58;22/05/2017 12:58;25200;0;EMAP Sprint 20;EMAP Sprint 21;EMAP Sprint 22;EMAP Sprint 23;EMAP Sprint 24;EMAP Sprint 25;EMAP Sprint 26;;
Story;EMAP-232;128851;;As user I want to see all the notification in screen right-bottom ;pastorim;olivada;Minor;Closed;Fixed;24/Apr/17 12:21 PM;22/05/2017 12:57;3600;0;EMAP Sprint 26;;;;;;;;
Story;EMAP-269;129622;;As a developer I need to create the Script migration for the GKAM user to the new security schema;olivada;battacar;Minor;Closed;Fixed;26/Apr/17 3:54 PM;22/05/2017 12:55;3600;0;EMAP Sprint 26;;;;;;;;
Story;EMAP-268;129620;;As developer I need to do the Script migration for Gkam dashboards;olivada;battacar;Minor;Closed;Fixed;26/Apr/17 3:53 PM;22/05/2017 12:52;10800;3600;EMAP Sprint 26;;;;;;;;
Story;EMAP-259;129606;;As a user I would like to see the Permission Management tree with the correct behavior;pastorim;battacar;Minor;Closed;Fixed;26/Apr/17 3:08 PM;22/05/2017 12:50;3600;0;EMAP Sprint 24;EMAP Sprint 26;;;;;;;
Bug;EMAP-325;133379;;The information areas without elements are not displayed;olivada;olivada;Minor;Closed;Fixed;12/05/2017 10:33;22/05/2017 12:28;14400;0;EMAP Sprint 26;;;;;;;;
Bug;EMAP-334;133783;;Admin option should not be visible when request access;olivada;olivada;Minor;Closed;Fixed;15/05/2017 12:23;22/05/2017 12:27;3600;0;EMAP Sprint 26;;;;;;;;
Bug;EMAP-333;133781;;The sfa filter is show when the user request access;olivada;olivada;Minor;Closed;Fixed;15/05/2017 12:19;22/05/2017 12:26;3600;0;EMAP Sprint 26;;;;;;;;
Task;EMAP-330;133747;;Change style to combobox user profile;pastorim;olivada;Minor;Closed;Fixed;15/05/2017 11:34;22/05/2017 12:26;1800;0;EMAP Sprint 26;;;;;;;;
Bug;EMAP-328;133470;;The MainViewCarousel is filled 2 times;olivada;olivada;Minor;Closed;Fixed;12/05/2017 17:08;22/05/2017 12:25;3600;0;EMAP Sprint 26;;;;;;;;
Story;EMAP-316;131955;;As user I would like to see the header green bars with vertical center;pastorim;olivada;Minor;Closed;Fixed;08/05/2017 13:52;22/05/2017 12:24;3600;0;EMAP Sprint 26;;;;;;;;
Story;EMAP-322;132571;;"As a User, when going in ""access request mode"" I only want to see regions that have reports available.";olivada;Casullop;Minor;Closed;Fixed;10/05/2017 09:44;22/05/2017 12:24;0;0;EMAP Sprint 26;;;;;;;;
Bug;EMAP-312;131950;;The region combobox is small in internet explorer;olivada;olivada;Minor;Closed;Fixed;08/05/2017 13:42;22/05/2017 12:11;10800;0;EMAP Sprint 25;EMAP Sprint 26;;;;;;;
Story;EMAP-320;132568;;As a User, I don't want to see the carrousel scroll arrows if the number of cards does not exceed the with of the screen.;olivada;Casullop;Minor;Closed;Fixed;10/05/2017 09:43;22/05/2017 12:10;3600;0;EMAP Sprint 25;EMAP Sprint 26;;;;;;;
Bug;EMAP-311;131949;;In the request access window the region combobox is small;olivada;olivada;Minor;Closed;Fixed;08/05/2017 13:40;22/05/2017 12:09;7200;0;EMAP Sprint 25;EMAP Sprint 26;;;;;;;
Story;EMAP-102;116071;;As PO I would like a script migration for access request tables;olivada;olivada;Minor;Closed;Won't Fix;06/03/2017 15:23;19/05/2017 16:53;28800;28800;EMAP Sprint 20;EMAP Sprint 26;;;;;;;
Sub-task;EMAP-302;131095;129593;When user is logged and has Local SFA permission, screen should display Current and Old Version SFA carousels;;mazzola;Minor;Closed;Done;03/05/2017 16:13;17/05/2017 15:41;;;EMAP Sprint 24;EMAP Sprint 25;EMAP Sprint 26;;;;;;
Sub-task;EMAP-304;131097;129593;Add extra data to carousel card for SFA types;;mazzola;Minor;Closed;Fixed;03/05/2017 16:14;17/05/2017 15:41;;;EMAP Sprint 24;EMAP Sprint 25;EMAP Sprint 26;;;;;;
Sub-task;EMAP-303;131096;129593;Add search field into carousel title header;;mazzola;Minor;Closed;Done;03/05/2017 16:13;17/05/2017 15:41;18000;10800;EMAP Sprint 24;EMAP Sprint 25;EMAP Sprint 26;;;;;;
